geoid,tract_name,borough,B19013_E001,B19013_M001
1400000US36005043502,"Census Tract 435.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005043503,"Census Tract 435.03, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005043600,"Census Tract 436, Bronx County, New York",Bronx,84735,20551
1400000US36005044200,"Census Tract 442, Bronx County, New York",Bronx,56434,55148
1400000US36005044400,"Census Tract 444, Bronx County, New York",Bronx,89615,58943
1400000US36005044800,"Census Tract 448, Bronx County, New York",Bronx,104094,28957
1400000US36005044901,"Census Tract 449.01, Bronx County, New York",Bronx,91419,13990
1400000US36005044902,"Census Tract 449.02, Bronx County, New York",Bronx,99297,18508
1400000US36005045101,"Census Tract 451.01, Bronx County, New York",Bronx,77246,19280
1400000US36005045102,"Census Tract 451.02, Bronx County, New York",Bronx,99395,5864
1400000US36005045600,"Census Tract 456, Bronx County, New York",Bronx,79386,12039
1400000US36005045800,"Census Tract 458, Bronx County, New York",Bronx,30453,8199
1400000US36005046000,"Census Tract 460, Bronx County, New York",Bronx,44355,10595
1400000US36005046203,"Census Tract 462.03, Bronx County, New York",Bronx,40755,10732
1400000US36005046204,"Census Tract 462.04, Bronx County, New York",Bronx,63652,16895
1400000US36005046205,"Census Tract 462.05, Bronx County, New York",Bronx,75679,19132
1400000US36005046206,"Census Tract 462.06, Bronx County, New York",Bronx,67234,12525
1400000US36005046207,"Census Tract 462.07, Bronx County, New York",Bronx,59838,22544
1400000US36005046208,"Census Tract 462.08, Bronx County, New York",Bronx,87061,32217
1400000US36005046209,"Census Tract 462.09, Bronx County, New York",Bronx,30185,24453
