geoid,tract_name,borough,B08301_E001,B08301_M001,B08301_E002,B08301_M002,B08301_E003,B08301_M003,B08301_E004,B08301_M004,B08301_E005,B08301_M005,B08301_E006,B08301_M006,B08301_E007,B08301_M007,B08301_E008,B08301_M008,B08301_E009,B08301_M009,B08301_E010,B08301_M010,B08301_E011,B08301_M011,B08301_E012,B08301_M012,B08301_E013,B08301_M013,B08301_E014,B08301_M014,B08301_E015,B08301_M015,B08301_E016,B08301_M016,B08301_E017,B08301_M017,B08301_E018,B08301_M018,B08301_E019,B08301_M019,B08301_E020,B08301_M020,B08301_E021,B08301_M021
1400000US36047020500,"Census Tract 205, Kings County, New York",Brooklyn,2194,297,64,52,53,43,11,16,0,14,0,14,0,14,0,14,11,16,920,204,22,23,875,199,12,18,0,14,11,17,0,14,0,14,88,56,201,164,8,15,913,282
1400000US36047020600,"Census Tract 206, Kings County, New York",Brooklyn,929,172,466,146,385,147,81,59,50,55,7,10,7,12,17,26,0,14,248,85,53,35,176,89,19,23,0,14,0,14,6,9,0,14,0,14,48,39,24,18,137,62
1400000US36047020700,"Census Tract 207, Kings County, New York",Brooklyn,2961,411,54,51,54,51,0,14,0,14,0,14,0,14,0,14,0,14,1507,376,12,19,1495,376,0,14,0,14,0,14,0,14,0,14,139,85,180,108,33,44,1048,255
1400000US36047020800,"Census Tract 208, Kings County, New York",Brooklyn,1306,376,312,192,210,116,102,101,11,16,12,21,48,70,24,35,7,10,466,152,84,60,353,157,29,28,0,14,0,14,0,14,0,14,268,357,62,38,11,17,187,94
1400000US36047021000,"Census Tract 210, Kings County, New York",Brooklyn,1378,281,481,211,253,130,228,206,39,32,175,206,14,23,0,14,0,14,511,145,126,104,385,113,0,14,0,14,0,14,5,10,0,14,32,36,232,160,25,29,92,60
1400000US36047021100,"Census Tract 211, Kings County, New York",Brooklyn,1430,264,229,110,198,109,31,36,19,32,6,12,6,9,0,14,0,14,482,170,83,46,351,155,0,14,0,14,48,41,0,14,0,14,117,68,72,49,52,53,478,166
1400000US36047021200,"Census Tract 212, Kings County, New York",Brooklyn,1327,267,245,95,162,65,83,67,70,59,13,21,0,14,0,14,0,14,530,150,40,45,490,136,0,14,0,14,0,14,0,14,0,14,10,15,176,91,55,59,311,201
1400000US36047021300,"Census Tract 213, Kings County, New York",Brooklyn,2151,302,303,243,211,227,92,60,82,57,10,18,0,14,0,14,0,14,1205,298,2,3,1203,298,0,14,0,14,0,14,27,30,0,14,45,42,57,59,0,14,514,160
1400000US36047021400,"Census Tract 214, Kings County, New York",Brooklyn,981,252,189,78,90,64,99,57,38,30,16,18,21,30,24,34,0,14,370,210,74,85,296,194,0,14,0,14,0,14,0,14,0,14,16,26,294,112,20,32,92,49
1400000US36047021500,"Census Tract 215, Kings County, New York",Brooklyn,3595,670,333,222,333,222,0,19,0,19,0,19,0,19,0,19,0,19,1750,462,0,19,1743,463,7,18,0,19,0,19,6,16,0,19,190,123,95,86,61,79,1160,341
